cov_target,tau,cov_val,n_ret,pos_ret,sens,spec,err,fn,fp,auc_ret
1.0,0.0,1.0,3972,83,0.9397590361445783,0.6199537156081255,0.3733635448136959,5,1478,0.8831195184440513
0.95,0.004705810546875036,0.9566968781470292,3800,81,0.9506172839506173,0.6227480505512234,0.37026315789473685,4,1403,0.8869884045558509
0.9,0.009778900146484337,0.9086102719033232,3609,75,0.96,0.6256366723259762,0.36741479634247715,3,1323,0.9048594604791549
0.85,0.015018768310546843,0.857754279959718,3407,71,0.971830985915493,0.6297961630695443,0.36307601995890815,2,1235,0.9176144999493363
0.8,0.019940490722656204,0.8116817724068479,3224,69,0.9855072463768116,0.627892234548336,0.36445409429280395,1,1174,0.9229173844139736
0.75,0.025131225585937465,0.7628398791540786,3030,68,1.0,0.6276164753544902,0.36402640264026404,0,1103,0.9228090121936688
0.7,0.030158843994140594,0.7134944612286002,2834,68,1.0,0.6247288503253796,0.3662667607621736,0,1038,0.917339224192931
0.6,0.04010070800781247,0.6087613293051359,2418,67,1.0,0.6035729476818376,0.3854425144747725,0,932,0.9077401169397588
0.5,0.04975814819335934,0.5118328298086606,2033,62,1.0,0.5743277524099442,0.41269060501721594,0,839,0.91687533755585
